date,day_of_week,is_weekend,month,quarter,is_holiday,holiday_name
2024-03-12,Tuesday,False,3,1,False,
2024-03-13,Wednesday,False,3,1,False,
2024-03-14,Thursday,False,3,1,False,
2024-03-15,Friday,False,3,1,False,
2024-03-16,Saturday,True,3,1,False,
2024-03-17,Sunday,True,3,1,False,
2024-03-18,Monday,False,3,1,False,
2024-03-19,Tuesday,False,3,1,False,
2024-03-20,Wednesday,False,3,1,False,
2024-03-21,Thursday,False,3,1,False,
2024-03-22,Friday,False,3,1,False,
2024-03-23,Saturday,True,3,1,False,
2024-03-24,Sunday,True,3,1,False,
2024-03-25,Monday,False,3,1,False,
2024-03-26,Tuesday,False,3,1,False,
2024-03-27,Wednesday,False,3,1,False,
2024-03-28,Thursday,False,3,1,False,
2024-03-29,Friday,False,3,1,False,
2024-03-30,Saturday,True,3,1,False,
2024-03-31,Sunday,True,3,1,False,
2024-04-01,Monday,False,4,2,False,
2024-04-02,Tuesday,False,4,2,False,
2024-04-03,Wednesday,False,4,2,False,
2024-04-04,Thursday,False,4,2,False,
2024-04-05,Friday,False,4,2,False,
2024-04-06,Saturday,True,4,2,False,
2024-04-07,Sunday,True,4,2,False,
2024-04-08,Monday,False,4,2,False,
2024-04-09,Tuesday,False,4,2,False,
2024-04-10,Wednesday,False,4,2,False,
2024-04-11,Thursday,False,4,2,False,
2024-04-12,Friday,False,4,2,False,
2024-04-13,Saturday,True,4,2,False,
2024-04-14,Sunday,True,4,2,False,
2024-04-15,Monday,False,4,2,False,
2024-04-16,Tuesday,False,4,2,False,
2024-04-17,Wednesday,False,4,2,False,
2024-04-18,Thursday,False,4,2,False,
2024-04-19,Friday,False,4,2,False,
2024-04-20,Saturday,True,4,2,False,
2024-04-21,Sunday,True,4,2,False,
2024-04-22,Monday,False,4,2,False,
2024-04-23,Tuesday,False,4,2,False,
2024-04-24,Wednesday,False,4,2,False,
2024-04-25,Thursday,False,4,2,False,
2024-04-26,Friday,False,4,2,False,
2024-04-27,Saturday,True,4,2,False,
2024-04-28,Sunday,True,4,2,False,
2024-04-29,Monday,False,4,2,False,
2024-04-30,Tuesday,False,4,2,False,
2024-05-01,Wednesday,False,5,2,False,
2024-05-02,Thursday,False,5,2,False,
2024-05-03,Friday,False,5,2,False,
2024-05-04,Saturday,True,5,2,False,
2024-05-05,Sunday,True,5,2,False,
2024-05-06,Monday,False,5,2,False,
2024-05-07,Tuesday,False,5,2,False,
2024-05-08,Wednesday,False,5,2,False,
2024-05-09,Thursday,False,5,2,False,
2024-05-10,Friday,False,5,2,False,
2024-05-11,Saturday,True,5,2,False,
2024-05-12,Sunday,True,5,2,False,
2024-05-13,Monday,False,5,2,False,
2024-05-14,Tuesday,False,5,2,False,
2024-05-15,Wednesday,False,5,2,False,
2024-05-16,Thursday,False,5,2,False,
2024-05-17,Friday,False,5,2,False,
2024-05-18,Saturday,True,5,2,False,
2024-05-19,Sunday,True,5,2,False,
2024-05-20,Monday,False,5,2,False,
2024-05-21,Tuesday,False,5,2,False,
2024-05-22,Wednesday,False,5,2,False,
2024-05-23,Thursday,False,5,2,False,
2024-05-24,Friday,False,5,2,False,
2024-05-25,Saturday,True,5,2,False,
2024-05-26,Sunday,True,5,2,False,
2024-05-27,Monday,False,5,2,True,Memorial Day
2024-05-28,Tuesday,False,5,2,False,
2024-05-29,Wednesday,False,5,2,False,
2024-05-30,Thursday,False,5,2,False,
2024-05-31,Friday,False,5,2,False,
2024-06-01,Saturday,True,6,2,False,
2024-06-02,Sunday,True,6,2,False,
2024-06-03,Monday,False,6,2,False,
2024-06-04,Tuesday,False,6,2,False,
2024-06-05,Wednesday,False,6,2,False,
2024-06-06,Thursday,False,6,2,False,
2024-06-07,Friday,False,6,2,False,
2024-06-08,Saturday,True,6,2,False,
2024-06-09,Sunday,True,6,2,False,
2024-06-10,Monday,False,6,2,False,
2024-06-11,Tuesday,False,6,2,False,
2024-06-12,Wednesday,False,6,2,False,
2024-06-13,Thursday,False,6,2,False,
2024-06-14,Friday,False,6,2,False,
2024-06-15,Saturday,True,6,2,False,
2024-06-16,Sunday,True,6,2,False,
2024-06-17,Monday,False,6,2,False,
2024-06-18,Tuesday,False,6,2,False,
2024-06-19,Wednesday,False,6,2,False,
2024-06-20,Thursday,False,6,2,False,
2024-06-21,Friday,False,6,2,False,
2024-06-22,Saturday,True,6,2,False,
2024-06-23,Sunday,True,6,2,False,
2024-06-24,Monday,False,6,2,False,
2024-06-25,Tuesday,False,6,2,False,
2024-06-26,Wednesday,False,6,2,False,
2024-06-27,Thursday,False,6,2,False,
2024-06-28,Friday,False,6,2,False,
2024-06-29,Saturday,True,6,2,False,
2024-06-30,Sunday,True,6,2,False,
2024-07-01,Monday,False,7,3,False,
2024-07-02,Tuesday,False,7,3,False,
2024-07-03,Wednesday,False,7,3,False,
2024-07-04,Thursday,False,7,3,True,Independence Day
2024-07-05,Friday,False,7,3,False,
2024-07-06,Saturday,True,7,3,False,
2024-07-07,Sunday,True,7,3,False,
2024-07-08,Monday,False,7,3,False,
2024-07-09,Tuesday,False,7,3,False,
2024-07-10,Wednesday,False,7,3,False,
2024-07-11,Thursday,False,7,3,False,
2024-07-12,Friday,False,7,3,False,
2024-07-13,Saturday,True,7,3,False,
2024-07-14,Sunday,True,7,3,False,
2024-07-15,Monday,False,7,3,False,
2024-07-16,Tuesday,False,7,3,False,
2024-07-17,Wednesday,False,7,3,False,
2024-07-18,Thursday,False,7,3,False,
2024-07-19,Friday,False,7,3,False,
2024-07-20,Saturday,True,7,3,False,
2024-07-21,Sunday,True,7,3,False,
2024-07-22,Monday,False,7,3,False,
2024-07-23,Tuesday,False,7,3,False,
2024-07-24,Wednesday,False,7,3,False,
2024-07-25,Thursday,False,7,3,False,
2024-07-26,Friday,False,7,3,False,
2024-07-27,Saturday,True,7,3,False,
2024-07-28,Sunday,True,7,3,False,
2024-07-29,Monday,False,7,3,False,
2024-07-30,Tuesday,False,7,3,False,
2024-07-31,Wednesday,False,7,3,False,
2024-08-01,Thursday,False,8,3,False,
2024-08-02,Friday,False,8,3,False,
2024-08-03,Saturday,True,8,3,False,
2024-08-04,Sunday,True,8,3,False,
2024-08-05,Monday,False,8,3,False,
2024-08-06,Tuesday,False,8,3,False,
2024-08-07,Wednesday,False,8,3,False,
2024-08-08,Thursday,False,8,3,False,
2024-08-09,Friday,False,8,3,False,
2024-08-10,Saturday,True,8,3,False,
2024-08-11,Sunday,True,8,3,False,
2024-08-12,Monday,False,8,3,False,
2024-08-13,Tuesday,False,8,3,False,
2024-08-14,Wednesday,False,8,3,False,
2024-08-15,Thursday,False,8,3,False,
2024-08-16,Friday,False,8,3,False,
2024-08-17,Saturday,True,8,3,False,
2024-08-18,Sunday,True,8,3,False,
2024-08-19,Monday,False,8,3,False,
2024-08-20,Tuesday,False,8,3,False,
2024-08-21,Wednesday,False,8,3,False,
2024-08-22,Thursday,False,8,3,False,
2024-08-23,Friday,False,8,3,False,
2024-08-24,Saturday,True,8,3,False,
2024-08-25,Sunday,True,8,3,False,
2024-08-26,Monday,False,8,3,False,
2024-08-27,Tuesday,False,8,3,False,
2024-08-28,Wednesday,False,8,3,False,
2024-08-29,Thursday,False,8,3,False,
2024-08-30,Friday,False,8,3,False,
2024-08-31,Saturday,True,8,3,False,
2024-09-01,Sunday,True,9,3,False,
2024-09-02,Monday,False,9,3,True,Labor Day
2024-09-03,Tuesday,False,9,3,False,
2024-09-04,Wednesday,False,9,3,False,
2024-09-05,Thursday,False,9,3,False,
2024-09-06,Friday,False,9,3,False,
2024-09-07,Saturday,True,9,3,False,
2024-09-08,Sunday,True,9,3,False,
2024-09-09,Monday,False,9,3,False,
2024-09-10,Tuesday,False,9,3,False,
2024-09-11,Wednesday,False,9,3,False,
2024-09-12,Thursday,False,9,3,False,
2024-09-13,Friday,False,9,3,False,
2024-09-14,Saturday,True,9,3,False,
2024-09-15,Sunday,True,9,3,False,
2024-09-16,Monday,False,9,3,False,
2024-09-17,Tuesday,False,9,3,False,
2024-09-18,Wednesday,False,9,3,False,
2024-09-19,Thursday,False,9,3,False,
2024-09-20,Friday,False,9,3,False,
2024-09-21,Saturday,True,9,3,False,
2024-09-22,Sunday,True,9,3,False,
2024-09-23,Monday,False,9,3,False,
2024-09-24,Tuesday,False,9,3,False,
2024-09-25,Wednesday,False,9,3,False,
2024-09-26,Thursday,False,9,3,False,
2024-09-27,Friday,False,9,3,False,
2024-09-28,Saturday,True,9,3,False,
2024-09-29,Sunday,True,9,3,False,
2024-09-30,Monday,False,9,3,False,
2024-10-01,Tuesday,False,10,4,False,
2024-10-02,Wednesday,False,10,4,False,
2024-10-03,Thursday,False,10,4,False,
2024-10-04,Friday,False,10,4,False,
2024-10-05,Saturday,True,10,4,False,
2024-10-06,Sunday,True,10,4,False,
2024-10-07,Monday,False,10,4,False,
2024-10-08,Tuesday,False,10,4,False,
2024-10-09,Wednesday,False,10,4,False,
2024-10-10,Thursday,False,10,4,False,
2024-10-11,Friday,False,10,4,False,
2024-10-12,Saturday,True,10,4,False,
2024-10-13,Sunday,True,10,4,False,
2024-10-14,Monday,False,10,4,True,Columbus Day
2024-10-15,Tuesday,False,10,4,False,
2024-10-16,Wednesday,False,10,4,False,
2024-10-17,Thursday,False,10,4,False,
2024-10-18,Friday,False,10,4,False,
2024-10-19,Saturday,True,10,4,False,
2024-10-20,Sunday,True,10,4,False,
2024-10-21,Monday,False,10,4,False,
2024-10-22,Tuesday,False,10,4,False,
2024-10-23,Wednesday,False,10,4,False,
2024-10-24,Thursday,False,10,4,False,
2024-10-25,Friday,False,10,4,False,
2024-10-26,Saturday,True,10,4,False,
2024-10-27,Sunday,True,10,4,False,
2024-10-28,Monday,False,10,4,False,
2024-10-29,Tuesday,False,10,4,False,
2024-10-30,Wednesday,False,10,4,False,
2024-10-31,Thursday,False,10,4,False,
2024-11-01,Friday,False,11,4,False,
2024-11-02,Saturday,True,11,4,False,
2024-11-03,Sunday,True,11,4,False,
2024-11-04,Monday,False,11,4,False,
2024-11-05,Tuesday,False,11,4,False,
2024-11-06,Wednesday,False,11,4,False,
2024-11-07,Thursday,False,11,4,False,
2024-11-08,Friday,False,11,4,False,
2024-11-09,Saturday,True,11,4,False,
2024-11-10,Sunday,True,11,4,False,
2024-11-11,Monday,False,11,4,True,Veterans Day
2024-11-12,Tuesday,False,11,4,False,
2024-11-13,Wednesday,False,11,4,False,
2024-11-14,Thursday,False,11,4,False,
2024-11-15,Friday,False,11,4,False,
2024-11-16,Saturday,True,11,4,False,
2024-11-17,Sunday,True,11,4,False,
2024-11-18,Monday,False,11,4,False,
2024-11-19,Tuesday,False,11,4,False,
2024-11-20,Wednesday,False,11,4,False,
2024-11-21,Thursday,False,11,4,False,
2024-11-22,Friday,False,11,4,False,
2024-11-23,Saturday,True,11,4,False,
2024-11-24,Sunday,True,11,4,False,
2024-11-25,Monday,False,11,4,False,
2024-11-26,Tuesday,False,11,4,False,
2024-11-27,Wednesday,False,11,4,False,
2024-11-28,Thursday,False,11,4,True,Thanksgiving
2024-11-29,Friday,False,11,4,True,Black Friday
2024-11-30,Saturday,True,11,4,False,
2024-12-01,Sunday,True,12,4,False,
2024-12-02,Monday,False,12,4,True,Cyber Monday
2024-12-03,Tuesday,False,12,4,False,
2024-12-04,Wednesday,False,12,4,False,
2024-12-05,Thursday,False,12,4,False,
2024-12-06,Friday,False,12,4,False,
2024-12-07,Saturday,True,12,4,False,
2024-12-08,Sunday,True,12,4,False,
2024-12-09,Monday,False,12,4,False,
2024-12-10,Tuesday,False,12,4,False,
2024-12-11,Wednesday,False,12,4,False,
2024-12-12,Thursday,False,12,4,False,
2024-12-13,Friday,False,12,4,False,
2024-12-14,Saturday,True,12,4,False,
2024-12-15,Sunday,True,12,4,False,
2024-12-16,Monday,False,12,4,False,
2024-12-17,Tuesday,False,12,4,False,
2024-12-18,Wednesday,False,12,4,False,
2024-12-19,Thursday,False,12,4,False,
2024-12-20,Friday,False,12,4,False,
2024-12-21,Saturday,True,12,4,False,
2024-12-22,Sunday,True,12,4,False,
2024-12-23,Monday,False,12,4,False,
2024-12-24,Tuesday,False,12,4,True,Christmas Eve
2024-12-25,Wednesday,False,12,4,True,Christmas
2024-12-26,Thursday,False,12,4,False,
2024-12-27,Friday,False,12,4,False,
2024-12-28,Saturday,True,12,4,False,
2024-12-29,Sunday,True,12,4,False,
2024-12-30,Monday,False,12,4,False,
2024-12-31,Tuesday,False,12,4,True,New Year's Eve
