assignment_id,experiment_id,user_id,variant,assigned_date,first_exposure_date
47,1,8893,control,2024-08-03,2024-08-07
48,1,3323,treatment,2024-08-01,2024-08-14
49,1,16897,control,2024-08-06,2024-08-14
50,1,20217,treatment,2024-08-07,2024-08-19
51,1,7546,control,2024-08-04,2024-08-07
52,1,23024,treatment,2024-08-04,2024-08-17
53,1,9241,control,2024-08-03,2024-08-14
54,1,8038,treatment,2024-08-02,2024-08-02
55,1,864,control,2024-08-01,2024-08-12
56,1,16999,treatment,2024-08-04,2024-08-11
57,1,20774,control,2024-08-03,2024-08-13
58,1,12980,treatment,2024-08-03,2024-08-13
59,1,9741,control,2024-08-07,2024-08-10
60,1,19435,treatment,2024-08-07,2024-08-18
61,1,18370,control,2024-08-03,2024-08-16
62,1,16207,treatment,2024-08-03,2024-08-06
63,1,3374,control,2024-08-06,2024-08-10
64,1,11205,treatment,2024-08-02,2024-08-07
65,1,20696,control,2024-08-03,2024-08-05
66,1,17975,treatment,2024-08-02,2024-08-05
67,1,3653,control,2024-08-05,2024-08-07
68,1,1693,treatment,2024-08-07,2024-08-09
69,1,470,control,2024-08-07,2024-08-15
70,1,7160,treatment,2024-08-03,2024-08-09
71,1,4290,control,2024-08-02,2024-08-10
72,1,3005,treatment,2024-08-01,2024-08-07
73,1,25680,control,2024-08-02,2024-08-06
74,1,1920,treatment,2024-08-01,2024-08-02
75,1,501,control,2024-08-07,2024-08-17
76,1,5708,treatment,2024-08-06,2024-08-11
77,1,18730,control,2024-08-07,2024-08-15
78,1,20522,treatment,2024-08-06,2024-08-10
79,1,17556,control,2024-08-07,2024-08-13
80,1,19530,treatment,2024-08-06,2024-08-11
81,1,7009,control,2024-08-02,2024-08-07
82,1,6960,treatment,2024-08-01,2024-08-10
83,1,4465,control,2024-08-03,2024-08-12
84,1,10329,treatment,2024-08-02,2024-08-11
85,1,25859,control,2024-08-04,2024-08-09
86,1,16194,treatment,2024-08-02,2024-08-05
87,1,785,control,2024-08-02,2024-08-06
88,1,15187,treatment,2024-08-06,2024-08-07
89,1,9174,control,2024-08-05,2024-08-09
90,1,7318,treatment,2024-08-07,2024-08-08
91,1,10658,control,2024-08-05,2024-08-15
92,1,9798,treatment,2024-08-06,2024-08-09
93,1,5369,control,2024-08-06,2024-08-19
94,1,9200,treatment,2024-08-04,2024-08-07
95,1,9240,control,2024-08-03,2024-08-06
96,1,6564,treatment,2024-08-01,2024-08-03
97,1,11172,control,2024-08-04,2024-08-15
98,1,1574,treatment,2024-08-06,2024-08-11
99,1,22870,control,2024-08-02,2024-08-08
100,1,12685,treatment,2024-08-05,2024-08-17
101,1,18167,control,2024-08-07,2024-08-19
102,1,10447,treatment,2024-08-05,2024-08-14
103,1,26533,control,2024-08-06,2024-08-18
104,1,16311,treatment,2024-08-07,2024-08-14
105,1,20478,control,2024-08-02,2024-08-04
106,1,21912,treatment,2024-08-06,2024-08-15
107,1,16526,control,2024-08-07,2024-08-14
108,1,14476,treatment,2024-08-01,2024-08-06
109,1,18369,control,2024-08-02,2024-08-04
110,1,13734,treatment,2024-08-06,2024-08-15
111,1,19008,control,2024-08-02,2024-08-11
112,1,16288,treatment,2024-08-01,2024-08-03
113,1,7091,control,2024-08-04,2024-08-15
114,1,10014,treatment,2024-08-05,2024-08-10
115,1,4114,control,2024-08-05,2024-08-14
116,1,1189,treatment,2024-08-06,2024-08-18
117,1,17865,control,2024-08-05,2024-08-09
118,1,1436,treatment,2024-08-07,2024-08-14
119,1,3916,control,2024-08-01,2024-08-11
120,1,18030,treatment,2024-08-01,2024-08-12
121,1,4861,control,2024-08-03,2024-08-08
122,1,9460,treatment,2024-08-03,2024-08-13
123,1,11328,control,2024-08-03,2024-08-14
124,1,10532,treatment,2024-08-04,2024-08-04
125,1,5636,control,2024-08-01,2024-08-05
126,1,4845,treatment,2024-08-07,2024-08-11
127,1,11769,control,2024-08-01,2024-08-09
128,1,22434,treatment,2024-08-02,2024-08-02
129,1,22199,control,2024-08-05,2024-08-05
130,1,22503,treatment,2024-08-06,2024-08-07
131,1,7529,control,2024-08-06,2024-08-11
132,1,12784,treatment,2024-08-06,2024-08-09
133,1,10754,control,2024-08-02,2024-08-03
134,1,12188,treatment,2024-08-04,2024-08-10
135,1,5843,control,2024-08-01,2024-08-10
136,1,1050,treatment,2024-08-02,2024-08-13
137,1,448,control,2024-08-03,2024-08-06
138,1,17948,treatment,2024-08-02,2024-08-09
139,1,20828,control,2024-08-06,2024-08-16
140,1,13411,treatment,2024-08-07,2024-08-17
141,1,18828,control,2024-08-01,2024-08-04
142,1,11193,treatment,2024-08-05,2024-08-13
143,1,18637,control,2024-08-03,2024-08-09
144,1,8937,treatment,2024-08-07,2024-08-16
145,1,691,control,2024-08-02,2024-08-02
146,1,6071,treatment,2024-08-03,2024-08-05
147,1,22235,control,2024-08-07,2024-08-13
148,1,22760,treatment,2024-08-07,2024-08-16
149,1,15844,control,2024-08-07,2024-08-13
150,1,13293,treatment,2024-08-07,2024-08-11
151,1,3562,control,2024-08-03,2024-08-09
152,1,22360,treatment,2024-08-01,2024-08-04
153,1,16253,control,2024-08-06,2024-08-14
154,1,6950,treatment,2024-08-07,2024-08-17
155,1,12704,control,2024-08-03,2024-08-16
156,1,17758,treatment,2024-08-05,2024-08-08
157,1,20232,control,2024-08-02,2024-08-12
158,1,14268,treatment,2024-08-03,2024-08-11
159,1,26463,control,2024-08-06,2024-08-12
160,1,19687,treatment,2024-08-03,2024-08-05
161,1,13507,control,2024-08-03,2024-08-15
162,1,17893,treatment,2024-08-01,2024-08-14
163,1,3665,control,2024-08-02,2024-08-12
164,1,19612,treatment,2024-08-05,2024-08-08
165,1,2647,control,2024-08-04,2024-08-08
166,1,14055,treatment,2024-08-06,2024-08-09
167,1,11312,control,2024-08-01,2024-08-09
168,1,3175,treatment,2024-08-03,2024-08-16
169,1,1347,control,2024-08-03,2024-08-10
170,1,17613,treatment,2024-08-07,2024-08-08
171,1,19555,control,2024-08-05,2024-08-08
172,1,2606,treatment,2024-08-02,2024-08-14
173,1,394,control,2024-08-07,2024-08-17
174,1,7552,treatment,2024-08-01,2024-08-11
175,1,5560,control,2024-08-04,2024-08-12
176,1,19582,treatment,2024-08-03,2024-08-06
177,1,9210,control,2024-08-06,2024-08-16
178,1,2347,treatment,2024-08-01,2024-08-09
179,1,8238,control,2024-08-05,2024-08-18
180,1,24807,treatment,2024-08-01,2024-08-02
181,1,55,control,2024-08-01,2024-08-03
182,1,13530,treatment,2024-08-01,2024-08-08
183,1,16365,control,2024-08-06,2024-08-09
184,1,23712,treatment,2024-08-01,2024-08-08
185,1,19701,control,2024-08-04,2024-08-08
186,1,18146,treatment,2024-08-02,2024-08-05
187,1,9761,control,2024-08-07,2024-08-08
188,1,4125,treatment,2024-08-05,2024-08-11
189,1,674,control,2024-08-04,2024-08-11
190,1,5856,treatment,2024-08-04,2024-08-05
191,1,3264,control,2024-08-04,2024-08-13
192,1,8201,treatment,2024-08-01,2024-08-14
193,1,11147,control,2024-08-03,2024-08-09
194,1,8468,treatment,2024-08-07,2024-08-18
195,1,18776,control,2024-08-07,2024-08-17
196,1,9599,treatment,2024-08-04,2024-08-10
197,1,24399,control,2024-08-05,2024-08-06
198,1,21457,treatment,2024-08-01,2024-08-09
199,1,2755,control,2024-08-02,2024-08-08
200,1,20954,treatment,2024-08-07,2024-08-12
201,1,7842,control,2024-08-03,2024-08-04
202,1,5217,treatment,2024-08-02,2024-08-05
203,1,17578,control,2024-08-05,2024-08-14
204,1,12167,treatment,2024-08-07,2024-08-12
205,1,7247,control,2024-08-01,2024-08-09
206,1,8441,treatment,2024-08-01,2024-08-03
207,1,21330,control,2024-08-06,2024-08-17
208,1,272,treatment,2024-08-07,2024-08-18
209,1,19966,control,2024-08-03,2024-08-13
210,1,8453,treatment,2024-08-07,2024-08-07
211,1,17334,control,2024-08-04,2024-08-08
212,1,4781,treatment,2024-08-01,2024-08-10
213,1,9898,control,2024-08-03,2024-08-09
214,1,5343,treatment,2024-08-05,2024-08-08
215,1,4108,control,2024-08-06,2024-08-19
216,1,9885,treatment,2024-08-01,2024-08-13
217,1,19853,control,2024-08-05,2024-08-15
218,1,23272,treatment,2024-08-04,2024-08-06
219,1,19903,control,2024-08-07,2024-08-09
220,1,22712,treatment,2024-08-01,2024-08-14
221,1,8653,control,2024-08-02,2024-08-06
222,1,7741,treatment,2024-08-01,2024-08-04
223,1,13459,control,2024-08-07,2024-08-14
224,1,21157,treatment,2024-08-03,2024-08-11
225,1,13815,control,2024-08-04,2024-08-15
226,1,19559,treatment,2024-08-05,2024-08-07
227,1,13496,control,2024-08-07,2024-08-20
228,1,14874,treatment,2024-08-05,2024-08-11
229,1,16553,control,2024-08-07,2024-08-19
230,1,21668,treatment,2024-08-06,2024-08-11
231,1,3259,control,2024-08-03,2024-08-15
232,1,21735,treatment,2024-08-01,2024-08-04
233,1,18205,control,2024-08-03,2024-08-08
234,1,22632,treatment,2024-08-07,2024-08-09
235,1,5585,control,2024-08-05,2024-08-05
236,1,26444,treatment,2024-08-05,2024-08-17
237,1,8913,control,2024-08-01,2024-08-01
238,1,24358,treatment,2024-08-04,2024-08-05
239,1,13112,control,2024-08-05,2024-08-05
240,1,17339,treatment,2024-08-05,2024-08-13
241,1,24018,control,2024-08-06,2024-08-16
242,1,4629,treatment,2024-08-07,2024-08-14
243,1,21020,control,2024-08-07,2024-08-18
244,1,22960,treatment,2024-08-06,2024-08-10
245,1,18188,control,2024-08-06,2024-08-10
246,1,22623,treatment,2024-08-07,2024-08-11
247,1,23991,control,2024-08-07,2024-08-11
248,1,721,treatment,2024-08-07,2024-08-16
249,1,18227,control,2024-08-06,2024-08-07
250,1,24511,treatment,2024-08-06,2024-08-16
251,1,1028,control,2024-08-04,2024-08-09
252,1,15947,treatment,2024-08-04,2024-08-08
253,1,10966,control,2024-08-07,2024-08-19
254,1,21622,treatment,2024-08-01,2024-08-01
255,1,9229,control,2024-08-01,2024-08-04
256,1,14119,treatment,2024-08-07,2024-08-18
257,1,1217,control,2024-08-03,2024-08-06
258,1,7049,treatment,2024-08-01,2024-08-14
259,1,5705,control,2024-08-06,2024-08-11
260,1,17624,treatment,2024-08-04,2024-08-10
261,1,20845,control,2024-08-05,2024-08-17
262,1,22196,treatment,2024-08-04,2024-08-09
263,1,15614,control,2024-08-03,2024-08-13
264,1,11594,treatment,2024-08-02,2024-08-09
265,1,19609,control,2024-08-02,2024-08-12
266,1,14768,treatment,2024-08-06,2024-08-12
267,1,12194,control,2024-08-01,2024-08-11
268,1,17766,treatment,2024-08-05,2024-08-07
269,1,16988,control,2024-08-03,2024-08-06
270,1,6400,treatment,2024-08-07,2024-08-18
271,1,3353,control,2024-08-02,2024-08-07
272,1,15414,treatment,2024-08-03,2024-08-04
273,1,8155,control,2024-08-02,2024-08-07
274,1,5537,treatment,2024-08-07,2024-08-15
275,1,22677,control,2024-08-02,2024-08-05
276,1,24779,treatment,2024-08-07,2024-08-16
277,1,22362,control,2024-08-06,2024-08-09
278,1,24694,treatment,2024-08-03,2024-08-13
279,1,15934,control,2024-08-07,2024-08-17
280,1,16439,treatment,2024-08-06,2024-08-06
281,1,14401,control,2024-08-04,2024-08-13
282,1,16019,treatment,2024-08-03,2024-08-14
283,1,20842,control,2024-08-01,2024-08-06
284,1,25117,treatment,2024-08-04,2024-08-16
285,1,16683,control,2024-08-05,2024-08-18
286,1,19188,treatment,2024-08-04,2024-08-12
287,1,22549,control,2024-08-05,2024-08-06
288,1,1483,treatment,2024-08-03,2024-08-12
289,1,11797,control,2024-08-04,2024-08-16
290,1,17788,treatment,2024-08-03,2024-08-08
291,1,4561,control,2024-08-07,2024-08-09
292,1,21575,treatment,2024-08-01,2024-08-08
293,1,2005,control,2024-08-07,2024-08-11
294,1,6529,treatment,2024-08-07,2024-08-11
295,1,8634,control,2024-08-01,2024-08-02
296,1,8130,treatment,2024-08-06,2024-08-12
297,1,7730,control,2024-08-07,2024-08-16
298,1,1664,treatment,2024-08-07,2024-08-10
299,1,19699,control,2024-08-05,2024-08-13
300,1,16860,treatment,2024-08-02,2024-08-12
301,1,15979,control,2024-08-02,2024-08-06
302,1,15410,treatment,2024-08-02,2024-08-12
303,1,26496,control,2024-08-03,2024-08-05
304,1,24995,treatment,2024-08-01,2024-08-10
305,1,26435,control,2024-08-05,2024-08-16
306,1,8173,treatment,2024-08-03,2024-08-09
307,1,23953,control,2024-08-05,2024-08-05
308,1,20185,treatment,2024-08-06,2024-08-12
309,1,1847,control,2024-08-01,2024-08-04
310,1,16246,treatment,2024-08-07,2024-08-11
311,1,15448,control,2024-08-07,2024-08-16
312,1,21902,treatment,2024-08-04,2024-08-13
313,1,10264,control,2024-08-07,2024-08-20
314,1,22777,treatment,2024-08-02,2024-08-06
315,1,25216,control,2024-08-02,2024-08-05
316,1,12944,treatment,2024-08-05,2024-08-13
317,1,22643,control,2024-08-04,2024-08-06
318,1,5916,treatment,2024-08-04,2024-08-06
319,1,25223,control,2024-08-01,2024-08-08
320,1,11889,treatment,2024-08-06,2024-08-17
321,1,17250,control,2024-08-02,2024-08-06
322,1,10663,treatment,2024-08-01,2024-08-09
323,1,21507,control,2024-08-05,2024-08-11
324,1,20237,treatment,2024-08-02,2024-08-08
325,1,19590,control,2024-08-04,2024-08-05
326,1,14696,treatment,2024-08-07,2024-08-11
327,1,25300,control,2024-08-07,2024-08-16
328,1,10174,treatment,2024-08-07,2024-08-17
329,1,8603,control,2024-08-05,2024-08-06
330,1,1898,treatment,2024-08-02,2024-08-05
331,1,5598,control,2024-08-01,2024-08-03
332,1,22036,treatment,2024-08-01,2024-08-08
333,1,564,control,2024-08-01,2024-08-01
334,1,15798,treatment,2024-08-04,2024-08-09
335,1,19161,control,2024-08-04,2024-08-14
336,1,898,treatment,2024-08-03,2024-08-13
337,1,8215,control,2024-08-05,2024-08-08
338,1,21526,treatment,2024-08-05,2024-08-05
339,1,5314,control,2024-08-04,2024-08-09
340,1,14780,treatment,2024-08-07,2024-08-17
341,1,19170,control,2024-08-03,2024-08-11
342,1,4852,treatment,2024-08-05,2024-08-07
343,1,23066,control,2024-08-05,2024-08-17
344,1,26392,treatment,2024-08-03,2024-08-06
345,1,26499,control,2024-08-06,2024-08-10
346,1,23594,treatment,2024-08-03,2024-08-03
347,1,290,control,2024-08-07,2024-08-12
348,1,4817,treatment,2024-08-06,2024-08-19
349,1,24144,control,2024-08-02,2024-08-02
350,1,21502,treatment,2024-08-03,2024-08-07
351,1,18558,control,2024-08-01,2024-08-04
352,1,17210,treatment,2024-08-07,2024-08-14
353,1,21114,control,2024-08-05,2024-08-18
354,1,26169,treatment,2024-08-07,2024-08-16
355,1,17008,control,2024-08-05,2024-08-13
356,1,18455,treatment,2024-08-06,2024-08-19
357,1,7506,control,2024-08-01,2024-08-11
358,1,6770,treatment,2024-08-03,2024-08-07
359,1,5023,control,2024-08-07,2024-08-09
360,1,15943,treatment,2024-08-05,2024-08-13
361,1,26047,control,2024-08-04,2024-08-11
362,1,19516,treatment,2024-08-07,2024-08-17
363,1,22939,control,2024-08-05,2024-08-11
364,1,10583,treatment,2024-08-04,2024-08-12
365,1,2707,control,2024-08-02,2024-08-08
366,1,18700,treatment,2024-08-01,2024-08-07
367,1,18542,control,2024-08-07,2024-08-13
368,1,1400,treatment,2024-08-07,2024-08-20
369,1,2502,control,2024-08-05,2024-08-10
370,1,5580,treatment,2024-08-03,2024-08-11
371,1,14560,control,2024-08-03,2024-08-04
372,1,5380,treatment,2024-08-02,2024-08-03
373,1,13849,control,2024-08-02,2024-08-12
374,1,18701,treatment,2024-08-07,2024-08-15
375,1,17219,control,2024-08-06,2024-08-14
376,1,3532,treatment,2024-08-07,2024-08-08
377,1,1610,control,2024-08-06,2024-08-10
378,1,24340,treatment,2024-08-03,2024-08-13
379,1,13317,control,2024-08-03,2024-08-03
380,1,17906,treatment,2024-08-03,2024-08-16
381,1,4029,control,2024-08-01,2024-08-05
382,1,9615,treatment,2024-08-02,2024-08-04
383,1,3690,control,2024-08-01,2024-08-12
384,1,7043,treatment,2024-08-07,2024-08-07
385,1,1622,control,2024-08-02,2024-08-02
386,1,859,treatment,2024-08-01,2024-08-05
387,1,23241,control,2024-08-06,2024-08-17
388,1,4492,treatment,2024-08-01,2024-08-07
389,1,25182,control,2024-08-02,2024-08-13
390,1,1644,treatment,2024-08-03,2024-08-15
391,1,29,control,2024-08-06,2024-08-06
392,1,19901,treatment,2024-08-02,2024-08-07
393,1,20410,control,2024-08-03,2024-08-12
394,1,5836,treatment,2024-08-06,2024-08-08
395,1,5949,control,2024-08-07,2024-08-15
396,1,24651,treatment,2024-08-05,2024-08-18
397,1,5033,control,2024-08-06,2024-08-13
398,1,12813,treatment,2024-08-02,2024-08-02
399,1,25538,control,2024-08-01,2024-08-14
400,1,23038,treatment,2024-08-03,2024-08-08
401,1,14116,control,2024-08-03,2024-08-13
402,1,2417,treatment,2024-08-03,2024-08-13
403,1,2128,control,2024-08-06,2024-08-19
404,1,7914,treatment,2024-08-04,2024-08-16
405,1,5508,control,2024-08-01,2024-08-05
406,1,1179,treatment,2024-08-05,2024-08-14
407,1,6133,control,2024-08-05,2024-08-16
408,1,9129,treatment,2024-08-07,2024-08-11
409,1,19814,control,2024-08-02,2024-08-06
410,1,4321,treatment,2024-08-04,2024-08-07
411,1,4414,control,2024-08-06,2024-08-15
412,1,22376,treatment,2024-08-04,2024-08-08
413,1,3680,control,2024-08-06,2024-08-09
414,1,4144,treatment,2024-08-04,2024-08-05
415,1,22949,control,2024-08-07,2024-08-07
416,1,26233,treatment,2024-08-01,2024-08-11
417,1,4466,control,2024-08-05,2024-08-12
418,1,17149,treatment,2024-08-07,2024-08-11
419,1,2038,control,2024-08-03,2024-08-11
420,1,20054,treatment,2024-08-03,2024-08-15
421,1,2509,control,2024-08-02,2024-08-11
422,1,8923,treatment,2024-08-01,2024-08-09
423,1,10563,control,2024-08-05,2024-08-07
424,1,19569,treatment,2024-08-02,2024-08-10
425,1,20259,control,2024-08-03,2024-08-16
426,1,6617,treatment,2024-08-06,2024-08-16
427,1,21523,control,2024-08-03,2024-08-03
428,1,11786,treatment,2024-08-07,2024-08-11
429,1,6020,control,2024-08-05,2024-08-06
430,1,2230,treatment,2024-08-01,2024-08-05
431,1,19997,control,2024-08-03,2024-08-07
432,1,14702,treatment,2024-08-03,2024-08-10
433,1,21013,control,2024-08-06,2024-08-06
434,1,22964,treatment,2024-08-01,2024-08-03
435,1,14022,control,2024-08-01,2024-08-06
436,1,21238,treatment,2024-08-04,2024-08-06
437,1,24905,control,2024-08-06,2024-08-17
438,1,2218,treatment,2024-08-07,2024-08-16
439,1,3943,control,2024-08-01,2024-08-05
440,1,15619,treatment,2024-08-04,2024-08-11
441,1,16091,control,2024-08-06,2024-08-06
442,1,6782,treatment,2024-08-03,2024-08-06
443,1,2194,control,2024-08-01,2024-08-03
444,1,5566,treatment,2024-08-03,2024-08-11
445,1,183,control,2024-08-01,2024-08-06
446,1,22972,treatment,2024-08-03,2024-08-14
447,1,27,control,2024-08-04,2024-08-16
448,1,22326,treatment,2024-08-05,2024-08-09
449,1,18683,control,2024-08-01,2024-08-12
450,1,26532,treatment,2024-08-02,2024-08-13
451,1,15240,control,2024-08-06,2024-08-08
452,1,5326,treatment,2024-08-06,2024-08-06
453,1,5514,control,2024-08-04,2024-08-11
454,1,19929,treatment,2024-08-01,2024-08-06
455,1,23803,control,2024-08-04,2024-08-06
456,1,12741,treatment,2024-08-07,2024-08-16
457,1,22763,control,2024-08-06,2024-08-15
458,1,25349,treatment,2024-08-07,2024-08-12
459,1,14617,control,2024-08-05,2024-08-05
460,1,17638,treatment,2024-08-04,2024-08-14
461,1,23917,control,2024-08-06,2024-08-07
462,1,17144,treatment,2024-08-02,2024-08-11
463,1,3572,control,2024-08-05,2024-08-17
464,1,9285,treatment,2024-08-06,2024-08-18
465,1,23305,control,2024-08-04,2024-08-10
466,1,4232,treatment,2024-08-01,2024-08-06
467,1,19100,control,2024-08-04,2024-08-09
468,1,2867,treatment,2024-08-03,2024-08-08
469,1,10930,control,2024-08-06,2024-08-17
470,1,10763,treatment,2024-08-06,2024-08-10
471,1,14301,control,2024-08-05,2024-08-18
472,1,8390,treatment,2024-08-03,2024-08-15
473,1,16611,control,2024-08-06,2024-08-15
474,1,3440,treatment,2024-08-06,2024-08-12
475,1,3851,control,2024-08-04,2024-08-17
476,1,19915,treatment,2024-08-03,2024-08-12
477,1,9749,control,2024-08-06,2024-08-17
478,1,13029,treatment,2024-08-01,2024-08-02
479,1,10386,control,2024-08-02,2024-08-04
480,1,622,treatment,2024-08-01,2024-08-08
481,1,424,control,2024-08-06,2024-08-13
482,1,13217,treatment,2024-08-03,2024-08-11
483,1,25428,control,2024-08-07,2024-08-20
484,1,9933,treatment,2024-08-02,2024-08-11
485,1,12415,control,2024-08-07,2024-08-18
486,1,13203,treatment,2024-08-03,2024-08-11
487,1,18594,control,2024-08-07,2024-08-19
488,1,8092,treatment,2024-08-02,2024-08-06
489,1,9717,control,2024-08-02,2024-08-10
490,1,16574,treatment,2024-08-03,2024-08-03
491,1,10002,control,2024-08-07,2024-08-14
492,1,20440,treatment,2024-08-06,2024-08-06
493,1,22723,control,2024-08-01,2024-08-01
494,1,12014,treatment,2024-08-04,2024-08-05
495,1,15956,control,2024-08-06,2024-08-10
496,1,3434,treatment,2024-08-02,2024-08-15
497,1,11678,control,2024-08-04,2024-08-11
498,1,10411,treatment,2024-08-01,2024-08-06
499,1,13868,control,2024-08-04,2024-08-13
500,1,10,treatment,2024-08-05,2024-08-09
501,1,23420,control,2024-08-01,2024-08-05
502,1,12761,treatment,2024-08-07,2024-08-18
503,1,20038,control,2024-08-07,2024-08-18
504,1,18602,treatment,2024-08-03,2024-08-07
505,1,23795,control,2024-08-06,2024-08-14
506,1,10332,treatment,2024-08-03,2024-08-03
507,1,23789,control,2024-08-03,2024-08-11
508,1,22728,treatment,2024-08-01,2024-08-03
509,1,6187,control,2024-08-07,2024-08-20
510,1,21613,treatment,2024-08-03,2024-08-03
511,1,25647,control,2024-08-03,2024-08-15
512,1,14470,treatment,2024-08-05,2024-08-16
513,1,612,control,2024-08-01,2024-08-07
514,1,15416,treatment,2024-08-06,2024-08-12
515,1,14735,control,2024-08-01,2024-08-08
516,1,18271,treatment,2024-08-02,2024-08-06
517,1,26112,control,2024-08-02,2024-08-04
518,1,1827,treatment,2024-08-04,2024-08-16
519,1,3444,control,2024-08-02,2024-08-03
520,1,10997,treatment,2024-08-02,2024-08-02
521,1,1345,control,2024-08-02,2024-08-09
522,1,23255,treatment,2024-08-03,2024-08-13
523,1,1527,control,2024-08-06,2024-08-10
524,1,6255,treatment,2024-08-01,2024-08-02
525,1,6750,control,2024-08-02,2024-08-15
526,1,5078,treatment,2024-08-03,2024-08-10
527,1,6276,control,2024-08-06,2024-08-14
528,1,2966,treatment,2024-08-06,2024-08-15
529,1,7923,control,2024-08-07,2024-08-09
530,1,19228,treatment,2024-08-03,2024-08-10
531,1,6267,control,2024-08-07,2024-08-20
532,1,22202,treatment,2024-08-02,2024-08-10
533,1,16757,control,2024-08-05,2024-08-14
534,1,19394,treatment,2024-08-05,2024-08-09
535,1,22891,control,2024-08-05,2024-08-10
536,1,14163,treatment,2024-08-05,2024-08-11
537,1,13037,control,2024-08-06,2024-08-14
538,1,7233,treatment,2024-08-01,2024-08-13
539,1,7489,control,2024-08-02,2024-08-05
540,1,22966,treatment,2024-08-05,2024-08-14
541,1,23047,control,2024-08-03,2024-08-11
542,1,8140,treatment,2024-08-06,2024-08-09
543,1,1925,control,2024-08-03,2024-08-10
544,1,19643,treatment,2024-08-03,2024-08-07
545,1,4246,control,2024-08-04,2024-08-11
546,1,13063,treatment,2024-08-01,2024-08-08
547,1,21663,control,2024-08-01,2024-08-08
548,1,4873,treatment,2024-08-01,2024-08-02
549,1,19617,control,2024-08-07,2024-08-19
550,1,1863,treatment,2024-08-05,2024-08-14
551,1,4488,control,2024-08-01,2024-08-09
552,1,6251,treatment,2024-08-07,2024-08-08
553,1,11848,control,2024-08-07,2024-08-10
554,1,16174,treatment,2024-08-05,2024-08-16
555,1,20766,control,2024-08-06,2024-08-17
556,1,7056,treatment,2024-08-04,2024-08-14
557,1,117,control,2024-08-01,2024-08-06
558,1,23074,treatment,2024-08-03,2024-08-07
559,1,10835,control,2024-08-07,2024-08-18
560,1,6734,treatment,2024-08-04,2024-08-04
561,1,26555,control,2024-08-04,2024-08-15
562,1,12282,treatment,2024-08-02,2024-08-03
563,1,6377,control,2024-08-06,2024-08-16
564,1,25927,treatment,2024-08-04,2024-08-04
565,1,3386,control,2024-08-04,2024-08-16
566,1,3998,treatment,2024-08-03,2024-08-08
567,1,1858,control,2024-08-06,2024-08-11
568,1,13676,treatment,2024-08-01,2024-08-09
569,1,9097,control,2024-08-05,2024-08-16
570,1,4387,treatment,2024-08-06,2024-08-17
571,1,14630,control,2024-08-01,2024-08-12
572,1,862,treatment,2024-08-03,2024-08-14
573,1,18611,control,2024-08-06,2024-08-13
574,1,25612,treatment,2024-08-03,2024-08-16
575,1,17725,control,2024-08-05,2024-08-17
576,1,22619,treatment,2024-08-07,2024-08-11
577,1,16171,control,2024-08-06,2024-08-06
578,1,22180,treatment,2024-08-01,2024-08-02
579,1,19433,control,2024-08-04,2024-08-07
580,1,24862,treatment,2024-08-03,2024-08-16
581,1,1829,control,2024-08-07,2024-08-12
