order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
172,106,128,1,18.81,1.88,16.93
173,107,130,1,24.79,2.48,22.31
174,108,13,1,28.5,2.85,25.65
175,109,69,1,29.35,2.94,26.41
176,110,212,1,84.12,8.41,75.71
177,111,202,2,36.43,7.29,65.57
178,112,216,1,13.19,1.32,11.87
179,112,139,1,56.44,5.64,50.8
180,113,351,2,13.58,2.72,24.44
181,113,381,1,54.12,5.41,48.71
182,114,58,1,34.75,3.48,31.27
183,114,51,1,98.24,9.82,88.42
184,114,320,1,15.43,1.54,13.89
185,115,110,1,45.46,4.55,40.91
186,115,470,1,112.78,11.28,101.5
187,115,312,1,22.19,2.22,19.97
188,116,41,1,55.05,5.5,49.55
189,117,83,1,44.85,4.49,40.36
190,117,223,1,86.51,8.65,77.86
191,117,170,1,17.01,1.7,15.31
192,118,388,1,93.96,9.4,84.56
193,119,204,1,28.99,2.9,26.09
194,119,455,1,9.21,0.92,8.29
195,120,28,1,24.6,2.46,22.14
196,120,386,1,11.19,1.12,10.07
197,121,348,1,105.22,10.52,94.7
198,122,375,1,88.33,8.83,79.5
199,123,327,1,51.11,5.11,46.0
200,123,163,1,12.97,1.3,11.67
201,124,350,1,28.29,2.83,25.46
202,124,397,2,24.8,4.96,44.64
203,125,49,1,127.16,12.72,114.44
204,126,117,1,103.75,10.38,93.37
205,126,468,2,54.08,10.82,97.34
206,127,154,1,7.29,0.73,6.56
207,127,2,1,5.99,0.6,5.39
208,128,240,1,120.72,12.07,108.65
209,128,34,1,138.12,13.81,124.31
210,129,156,1,32.79,3.28,29.51
211,130,245,1,11.11,1.11,10.0
212,131,384,1,13.77,1.38,12.39
213,131,425,1,57.52,5.75,51.77
214,132,262,1,39.79,3.98,35.81
215,132,469,2,29.58,5.92,53.24
216,132,165,1,41.73,4.17,37.56
217,133,367,1,9.63,0.96,8.67
218,133,183,1,117.99,11.8,106.19
219,134,235,1,99.13,9.91,89.22
220,134,426,2,48.35,9.67,87.03
221,135,34,1,138.12,13.81,124.31
222,135,213,1,123.71,12.37,111.34
223,136,203,1,20.96,2.1,18.86
224,136,173,1,34.15,3.42,30.73
225,137,106,1,33.94,3.39,30.55
226,138,478,2,108.63,21.73,195.53
227,139,319,2,56.94,11.39,102.49
228,139,451,1,7.2,0.72,6.48
229,140,164,1,13.81,1.38,12.43
230,141,95,1,42.49,4.25,38.24
231,142,381,1,54.12,5.41,48.71
232,142,403,2,27.42,5.48,49.36
233,143,256,1,80.14,8.01,72.13
234,144,198,1,98.57,9.86,88.71
235,145,166,1,89.65,8.97,80.68
236,145,195,1,83.6,8.36,75.24
237,146,240,1,120.72,12.07,108.65
238,146,377,1,49.19,4.92,44.27
239,147,5,1,106.59,10.66,95.93
240,147,297,1,26.6,2.66,23.94
241,147,116,1,25.51,2.55,22.96
242,148,296,1,34.53,3.45,31.08
243,148,459,1,46.25,4.62,41.63
244,149,415,1,92.83,9.28,83.55
245,150,132,1,68.5,6.85,61.65
246,151,316,1,72.89,7.29,65.6
247,151,414,2,29.02,5.8,52.24
248,152,320,1,15.43,1.54,13.89
249,153,320,1,15.43,1.54,13.89
250,153,188,1,35.02,3.5,31.52
251,154,434,1,57.87,5.79,52.08
252,155,447,1,139.97,14.0,125.97
253,156,477,2,15.78,3.16,28.4
254,157,475,1,158.92,15.89,143.03
255,157,396,1,82.02,8.2,73.82
256,157,288,1,60.64,6.06,54.58
257,158,452,1,30.16,3.02,27.14
258,158,184,1,20.13,2.01,18.12
259,159,155,1,6.91,0.69,6.22
260,159,428,1,74.83,7.48,67.35
261,160,466,1,25.71,2.57,23.14
262,160,98,1,41.21,4.12,37.09
263,161,134,1,41.38,4.14,37.24
264,162,318,1,63.09,6.31,56.78
265,162,498,1,12.73,1.27,11.46
266,163,140,1,15.1,1.51,13.59
267,164,236,1,22.48,2.25,20.23
268,164,385,1,58.01,5.8,52.21
269,165,461,1,65.61,6.56,59.05
270,166,146,1,11.32,1.13,10.19
271,167,432,1,41.19,4.12,37.07
272,167,479,1,14.2,1.42,12.78
273,168,411,1,26.83,2.68,24.15
274,169,116,1,25.51,2.55,22.96
275,170,392,1,13.17,1.32,11.85
276,171,391,1,26.65,2.67,23.98
277,172,151,1,14.79,1.48,13.31
278,173,35,1,82.17,8.22,73.95
279,173,221,1,67.3,6.73,60.57
280,174,434,1,57.87,5.79,52.08
281,175,207,1,46.11,4.61,41.5
282,175,409,2,6.18,1.24,11.12
283,176,248,1,69.37,6.94,62.43
284,177,440,1,12.81,1.28,11.53
285,177,486,1,18.73,1.87,16.86
286,178,498,1,12.73,1.27,11.46
287,179,241,1,36.78,3.68,33.1
288,179,241,1,36.78,3.68,33.1
289,180,239,1,45.9,4.59,41.31
290,180,56,1,13.81,1.38,12.43
291,181,91,1,20.86,2.09,18.77
292,182,295,1,14.63,1.46,13.17
293,182,316,2,72.89,14.58,131.2
294,183,271,1,108.14,10.81,97.33
295,183,402,1,18.18,1.82,16.36
296,183,492,1,28.54,2.85,25.69
297,184,219,1,66.21,6.62,59.59
298,184,262,1,39.79,3.98,35.81
299,184,328,1,15.42,1.54,13.88
300,185,83,1,44.85,4.49,40.36
301,185,10,1,47.38,4.74,42.64
302,186,431,1,71.53,7.15,64.38
303,187,462,1,17.46,1.75,15.71
304,188,445,1,16.63,1.66,14.97
305,188,41,1,55.05,5.5,49.55
306,188,291,1,104.99,10.5,94.49
307,189,320,2,15.43,3.09,27.77
308,190,75,1,30.02,3.0,27.02
309,190,20,2,73.8,14.76,132.84
310,190,444,1,15.06,1.51,13.55
311,191,283,1,54.99,5.5,49.49
312,191,94,1,20.04,2.0,18.04
313,192,473,1,60.35,6.04,54.31
314,193,273,1,94.81,9.48,85.33
315,194,173,1,34.15,3.42,30.73
316,195,208,1,27.5,2.75,24.75
317,195,293,1,8.81,0.88,7.93
318,195,327,2,51.11,10.22,92.0
319,196,222,1,49.04,4.9,44.14
320,196,453,1,14.91,1.49,13.42
321,197,180,2,45.23,9.05,81.41
322,198,1,1,81.65,8.17,73.48
323,199,339,1,47.27,4.73,42.54
324,200,236,1,22.48,2.25,20.23
325,201,82,1,43.63,4.36,39.27
326,202,455,1,9.21,0.92,8.29
327,203,492,1,28.54,2.85,25.69
328,204,314,2,21.71,4.34,39.08
329,205,377,1,49.19,4.92,44.27
330,205,342,1,22.98,2.3,20.68
331,205,415,1,92.83,9.28,83.55
332,206,85,1,79.84,7.98,71.86
333,207,229,1,5.99,0.6,5.39
334,208,107,1,30.14,3.01,27.13
335,209,241,1,36.78,3.68,33.1
336,210,407,1,30.61,3.06,27.55
337,210,68,1,13.93,1.39,12.54
338,211,248,1,69.37,6.94,62.43
339,211,55,1,38.95,3.9,35.05
340,212,272,1,139.14,13.91,125.23
341,213,173,1,34.15,3.42,30.73
342,214,439,1,10.65,1.07,9.58
343,214,252,1,39.59,3.96,35.63
344,215,108,1,87.47,8.75,78.72
345,215,355,1,39.7,3.97,35.73
346,216,392,1,13.17,1.32,11.85
347,216,332,1,36.15,3.62,32.53
348,216,273,1,94.81,9.48,85.33
349,217,376,1,117.14,11.71,105.43
350,217,98,1,41.21,4.12,37.09
351,217,175,1,76.67,7.67,69.0
352,218,158,1,30.49,3.05,27.44
353,219,393,1,27.32,2.73,24.59
354,220,133,2,33.95,6.79,61.11
355,221,50,1,132.05,13.21,118.84
356,221,165,1,41.73,4.17,37.56
357,222,104,1,7.47,0.75,6.72
358,222,344,1,19.78,1.98,17.8
359,223,453,1,14.91,1.49,13.42
360,224,265,1,54.9,5.49,49.41
361,224,224,1,41.74,4.17,37.57
362,224,212,2,84.12,16.82,151.42
363,225,444,1,15.06,1.51,13.55
364,225,357,1,313.37,31.34,282.03
365,226,330,1,12.26,1.23,11.03
366,226,231,1,47.53,4.75,42.78
367,227,380,1,81.78,8.18,73.6
368,228,477,1,15.78,1.58,14.2
369,228,135,1,33.49,3.35,30.14
370,229,371,1,33.34,3.33,30.01
371,229,398,1,43.89,4.39,39.5
372,230,111,1,115.49,11.55,103.94
373,230,215,1,53.07,5.31,47.76
374,230,35,1,82.17,8.22,73.95
375,231,86,1,29.79,2.98,26.81
376,231,27,1,50.05,5.0,45.05
377,232,85,1,79.84,7.98,71.86
378,232,123,1,30.73,3.07,27.66
379,232,185,1,172.13,17.21,154.92
380,233,283,1,54.99,5.5,49.49
381,234,159,1,32.38,3.24,29.14
382,234,78,1,75.24,7.52,67.72
383,235,394,1,35.93,3.59,32.34
384,235,408,1,27.25,2.73,24.52
385,236,467,2,44.36,8.87,79.85
386,237,128,1,18.81,1.88,16.93
387,238,374,1,19.59,1.96,17.63
388,239,310,1,85.64,8.56,77.08
389,240,478,1,108.63,10.86,97.77
390,240,280,1,31.58,3.16,28.42
391,241,447,1,139.97,14.0,125.97
392,241,1,1,81.65,8.17,73.48
393,242,20,1,73.8,7.38,66.42
394,243,253,2,54.24,10.85,97.63
395,243,174,1,25.81,2.58,23.23
396,244,462,2,17.46,3.49,31.43
397,245,294,1,14.35,1.44,12.91
398,245,289,2,44.84,8.97,80.71
399,246,430,1,38.37,3.84,34.53
400,246,343,1,81.92,8.19,73.73
401,247,328,1,15.42,1.54,13.88
402,248,438,1,5.99,0.6,5.39
403,249,344,1,19.78,1.98,17.8
404,250,226,1,43.32,4.33,38.99
405,250,6,1,41.52,4.15,37.37
406,251,345,1,31.56,3.16,28.4
407,252,57,1,45.49,4.55,40.94
408,253,308,1,32.99,3.3,29.69
409,253,279,1,64.01,6.4,57.61
410,254,49,1,127.16,12.72,114.44
411,255,339,1,47.27,4.73,42.54
412,255,225,1,24.91,2.49,22.42
413,256,468,2,54.08,10.82,97.34
414,256,362,1,46.81,4.68,42.13
415,257,488,1,205.47,20.55,184.92
416,258,216,1,13.19,1.32,11.87
417,258,175,1,76.67,7.67,69.0
418,259,169,1,8.47,0.85,7.62
419,259,172,1,23.89,2.39,21.5
420,260,38,1,55.24,5.52,49.72
421,260,1,1,81.65,8.17,73.48
422,261,153,1,34.83,3.48,31.35
423,261,139,2,56.44,11.29,101.59
424,262,116,1,25.51,2.55,22.96
425,262,440,1,12.81,1.28,11.53
426,263,198,1,98.57,9.86,88.71
427,263,130,1,24.79,2.48,22.31
428,264,373,1,38.26,3.83,34.43
429,265,273,1,94.81,9.48,85.33
430,266,325,1,16.65,1.67,14.98
431,266,464,1,32.83,3.28,29.55
432,267,268,1,25.99,2.6,23.39
433,267,43,1,55.12,5.51,49.61
434,268,488,1,205.47,20.55,184.92
435,268,98,1,41.21,4.12,37.09
436,269,372,1,62.55,6.25,56.3
437,269,244,1,32.19,3.22,28.97
438,270,135,2,33.49,6.7,60.28
439,270,81,2,13.92,2.78,25.06
440,271,27,1,50.05,5.0,45.05
441,272,228,1,44.98,4.5,40.48
442,272,94,1,20.04,2.0,18.04
443,273,455,2,9.21,1.84,16.58
444,274,443,2,9.92,1.98,17.86
445,275,450,2,13.21,2.64,23.78
446,276,325,1,16.65,1.67,14.98
447,277,244,1,32.19,3.22,28.97
448,278,358,1,20.71,2.07,18.64
449,279,25,1,69.73,6.97,62.76
450,280,467,1,44.36,4.44,39.92
451,281,222,1,49.04,4.9,44.14
452,281,287,1,24.54,2.45,22.09
453,282,203,1,20.96,2.1,18.86
454,282,267,1,43.16,4.32,38.84
455,283,154,1,7.29,0.73,6.56
456,283,27,2,50.05,10.01,90.09
457,284,260,1,47.98,4.8,43.18
458,284,9,1,13.52,1.35,12.17
459,284,224,1,41.74,4.17,37.57
460,285,48,1,11.9,1.19,10.71
461,286,406,1,136.6,13.66,122.94
462,286,455,1,9.21,0.92,8.29
463,287,241,1,36.78,3.68,33.1
464,287,10,1,47.38,4.74,42.64
465,288,281,1,18.48,1.85,16.63
466,289,17,1,63.16,6.32,56.84
467,289,38,1,55.24,5.52,49.72
468,290,72,1,49.85,4.99,44.86
469,290,194,1,72.96,7.3,65.66
470,291,53,1,97.56,9.76,87.8
471,291,241,2,36.78,7.36,66.2
472,292,285,1,43.47,4.35,39.12
473,293,140,1,15.1,1.51,13.59
474,294,53,1,97.56,9.76,87.8
475,294,87,1,12.24,1.22,11.02
476,295,335,1,107.51,10.75,96.76
477,296,227,1,5.99,0.6,5.39
478,296,317,1,21.2,2.12,19.08
479,297,20,1,73.8,7.38,66.42
480,298,32,1,14.7,1.47,13.23
481,299,262,1,39.79,3.98,35.81
482,299,469,1,29.58,2.96,26.62
483,299,269,1,22.51,2.25,20.26
484,299,469,1,29.58,2.96,26.62
485,300,56,1,13.81,1.38,12.43
486,300,362,1,46.81,4.68,42.13
487,301,493,1,18.71,1.87,16.84
488,301,309,2,76.43,15.29,137.57
489,301,471,1,74.14,7.41,66.73
490,302,232,1,48.52,4.85,43.67
491,303,270,1,66.45,6.65,59.8
492,304,487,1,16.39,1.64,14.75
493,305,300,1,43.46,4.35,39.11
494,305,416,1,34.79,3.48,31.31
495,305,9,1,13.52,1.35,12.17
496,306,276,1,61.16,6.12,55.04
497,307,88,1,25.65,2.56,23.09
498,308,362,1,46.81,4.68,42.13
499,308,284,1,33.19,3.32,29.87
500,309,392,1,13.17,1.32,11.85
501,309,457,1,37.3,3.73,33.57
502,310,223,1,86.51,8.65,77.86
503,311,236,1,22.48,2.25,20.23
504,312,346,2,14.05,2.81,25.29
505,313,117,1,103.75,10.38,93.37
506,314,124,1,36.78,3.68,33.1
507,315,401,1,33.2,3.32,29.88
508,315,81,1,13.92,1.39,12.53
509,316,383,1,50.19,5.02,45.17
510,317,349,1,31.13,3.11,28.02
511,318,110,1,45.46,4.55,40.91
512,319,125,2,44.36,8.87,79.85
513,319,56,1,13.81,1.38,12.43
514,320,457,1,37.3,3.73,33.57
515,321,153,2,34.83,6.97,62.69
516,322,289,1,44.84,4.48,40.36
517,322,2,1,5.99,0.6,5.39
518,323,29,1,16.21,1.62,14.59
519,324,375,1,88.33,8.83,79.5
520,324,89,1,39.4,3.94,35.46
521,324,316,1,72.89,7.29,65.6
522,325,290,1,12.33,1.23,11.1
523,325,325,1,16.65,1.67,14.98
524,326,447,1,139.97,14.0,125.97
525,327,8,1,13.3,1.33,11.97
526,328,252,1,39.59,3.96,35.63
527,328,357,1,313.37,31.34,282.03
528,329,418,1,30.84,3.08,27.76
529,329,232,1,48.52,4.85,43.67
530,329,408,1,27.25,2.73,24.52
531,330,16,1,61.7,6.17,55.53
532,331,368,1,55.85,5.59,50.26
533,332,23,1,7.48,0.75,6.73
534,333,231,1,47.53,4.75,42.78
535,333,470,1,112.78,11.28,101.5
536,333,63,1,67.72,6.77,60.95
537,334,193,1,20.13,2.01,18.12
538,335,478,2,108.63,21.73,195.53
539,335,303,1,54.21,5.42,48.79
540,336,366,1,10.82,1.08,9.74
541,336,274,1,30.33,3.03,27.3
542,337,366,1,10.82,1.08,9.74
543,337,146,2,11.32,2.26,20.38
544,338,306,1,5.99,0.6,5.39
545,339,353,1,9.26,0.93,8.33
546,340,455,2,9.21,1.84,16.58
547,341,216,1,13.19,1.32,11.87
548,341,353,2,9.26,1.85,16.67
549,341,249,2,34.05,6.81,61.29
550,342,80,1,16.84,1.68,15.16
551,342,224,1,41.74,4.17,37.57
552,343,318,1,63.09,6.31,56.78
553,344,479,1,14.2,1.42,12.78
554,344,233,1,13.07,1.31,11.76
555,345,79,1,34.16,3.42,30.74
556,346,37,1,65.63,6.56,59.07
557,346,87,1,12.24,1.22,11.02
558,347,18,1,9.06,0.91,8.15
559,348,269,2,22.51,4.5,40.52
560,348,298,1,25.29,2.53,22.76
561,349,214,1,42.42,4.24,38.18
562,349,366,1,10.82,1.08,9.74
563,349,416,1,34.79,3.48,31.31
564,350,246,1,26.99,2.7,24.29
565,350,70,2,18.23,3.65,32.81
566,351,415,1,92.83,9.28,83.55
567,351,403,1,27.42,2.74,24.68
568,351,217,1,30.87,3.09,27.78
569,352,203,1,20.96,2.1,18.86
570,353,26,2,139.5,27.9,251.1
571,353,489,1,42.01,4.2,37.81
572,354,277,1,36.49,3.65,32.84
573,354,281,1,18.48,1.85,16.63
574,355,301,1,42.64,4.26,38.38
575,355,449,1,24.76,2.48,22.28
576,356,9,1,13.52,1.35,12.17
577,357,483,2,30.51,6.1,54.92
578,358,359,1,104.4,10.44,93.96
579,359,349,1,31.13,3.11,28.02
580,360,131,1,22.38,2.24,20.14
581,361,192,1,51.65,5.17,46.48
582,361,15,1,37.58,3.76,33.82
583,362,377,1,49.19,4.92,44.27
584,362,277,1,36.49,3.65,32.84
585,362,373,1,38.26,3.83,34.43
586,363,451,1,7.2,0.72,6.48
587,364,413,2,100.02,20.0,180.04
588,365,239,1,45.9,4.59,41.31
589,366,464,1,32.83,3.28,29.55
590,366,150,1,41.39,4.14,37.25
591,366,321,1,72.18,7.22,64.96
592,366,142,1,31.6,3.16,28.44
593,367,234,2,18.73,3.75,33.71
594,367,34,1,138.12,13.81,124.31
595,367,328,1,15.42,1.54,13.88
596,368,266,1,10.77,1.08,9.69
597,368,191,2,45.5,9.1,81.9
598,369,487,1,16.39,1.64,14.75
599,369,82,1,43.63,4.36,39.27
600,369,428,1,74.83,7.48,67.35
601,370,165,1,41.73,4.17,37.56
602,371,419,2,33.22,6.64,59.8
603,371,457,1,37.3,3.73,33.57
604,372,36,1,15.85,1.58,14.27
605,373,294,1,14.35,1.44,12.91
606,373,466,2,25.71,5.14,46.28
607,374,226,2,43.32,8.66,77.98
608,375,389,1,64.86,6.49,58.37
609,376,387,1,17.54,1.75,15.79
610,376,466,1,25.71,2.57,23.14
611,377,402,2,18.18,3.64,32.72
612,377,122,1,134.69,13.47,121.22
613,378,375,1,88.33,8.83,79.5
614,379,14,1,41.37,4.14,37.23
615,380,211,1,47.4,4.74,42.66
616,381,288,1,60.64,6.06,54.58
617,381,33,1,170.55,17.06,153.49
618,382,221,1,67.3,6.73,60.57
619,383,37,1,65.63,6.56,59.07
620,384,460,1,11.51,1.15,10.36
621,385,178,1,48.57,4.86,43.71
622,386,93,1,22.13,2.21,19.92
623,387,25,1,69.73,6.97,62.76
624,387,333,1,234.18,23.42,210.76
625,388,306,1,5.99,0.6,5.39
626,389,417,1,34.12,3.41,30.71
627,389,277,1,36.49,3.65,32.84
628,390,329,1,46.99,4.7,42.29
629,391,143,1,35.42,3.54,31.88
630,392,498,1,12.73,1.27,11.46
631,393,247,1,18.29,1.83,16.46
632,394,228,2,44.98,9.0,80.96
633,394,413,2,100.02,20.0,180.04
634,395,324,1,18.0,1.8,16.2
635,396,277,1,36.49,3.65,32.84
636,397,468,2,54.08,10.82,97.34
637,397,125,1,44.36,4.44,39.92
638,398,243,1,30.33,3.03,27.3
639,399,95,1,42.49,4.25,38.24
640,400,408,1,27.25,2.73,24.52
641,400,245,1,11.11,1.11,10.0
642,400,290,1,12.33,1.23,11.1
643,401,302,1,45.96,4.6,41.36
644,402,411,1,26.83,2.68,24.15
645,402,291,2,104.99,21.0,188.98
646,403,297,1,26.6,2.66,23.94
647,404,145,2,64.38,12.88,115.88
648,404,349,1,31.13,3.11,28.02
649,405,130,1,24.79,2.48,22.31
650,405,363,1,34.8,3.48,31.32
651,406,220,1,39.22,3.92,35.3
652,407,214,1,42.42,4.24,38.18
653,408,429,1,75.5,7.55,67.95
654,409,93,1,22.13,2.21,19.92
655,410,79,1,34.16,3.42,30.74
656,411,236,1,22.48,2.25,20.23
657,411,209,1,35.18,3.52,31.66
658,412,299,1,54.37,5.44,48.93
659,413,393,1,27.32,2.73,24.59
660,413,146,1,11.32,1.13,10.19
661,414,250,1,26.41,2.64,23.77
662,414,10,1,47.38,4.74,42.64
663,415,48,1,11.9,1.19,10.71
664,416,200,1,25.68,2.57,23.11
665,417,367,1,9.63,0.96,8.67
666,418,407,1,30.61,3.06,27.55
667,419,313,1,48.82,4.88,43.94
668,419,153,2,34.83,6.97,62.69
669,420,438,1,5.99,0.6,5.39
670,420,428,1,74.83,7.48,67.35
671,420,426,2,48.35,9.67,87.03
672,421,339,2,47.27,9.45,85.09
673,421,192,1,51.65,5.17,46.48
674,421,76,2,73.45,14.69,132.21
675,422,2,1,5.99,0.6,5.39
676,422,108,1,87.47,8.75,78.72
677,423,226,1,43.32,4.33,38.99
678,424,332,1,36.15,3.62,32.53
679,425,496,1,7.78,0.78,7.0
680,426,147,1,23.91,2.39,21.52
681,427,216,1,13.19,1.32,11.87
682,427,247,1,18.29,1.83,16.46
683,428,149,1,31.9,3.19,28.71
684,428,214,1,42.42,4.24,38.18
685,429,324,1,18.0,1.8,16.2
686,429,472,1,26.97,2.7,24.27
687,430,91,2,20.86,4.17,37.55
688,431,301,1,42.64,4.26,38.38
689,431,328,2,15.42,3.08,27.76
690,432,65,1,40.41,4.04,36.37
691,433,91,1,20.86,2.09,18.77
692,433,288,2,60.64,12.13,109.15
693,434,274,1,30.33,3.03,27.3
694,434,418,1,30.84,3.08,27.76
695,435,417,1,34.12,3.41,30.71
696,435,349,1,31.13,3.11,28.02
